Dept,Hour,Busy_Minutes_Year,Ambulances,Capacity_Minutes,Utilization_Rate,Utilization_Pct
Watertown,0,2796.5,3,65700,0.0426,4.26
Watertown,1,1860.7,3,65700,0.0283,2.83
Watertown,2,2123.6,3,65700,0.0323,3.23
Watertown,3,1980.3,3,65700,0.0301,3.01
Watertown,4,1738.4,3,65700,0.0265,2.65
Watertown,5,1595.1,3,65700,0.0243,2.43
Watertown,6,2212.6,3,65700,0.0337,3.37
Watertown,7,3096.2,3,65700,0.0471,4.71
Watertown,8,4509.7,3,65700,0.0686,6.86
Watertown,9,4562.9,3,65700,0.0695,6.95
Watertown,10,5286.5,3,65700,0.0805,8.05
Watertown,11,4724.5,3,65700,0.0719,7.19
Watertown,12,4459.6,3,65700,0.0679,6.79
Watertown,13,4620.8,3,65700,0.0703,7.03
Watertown,14,4353.5,3,65700,0.0663,6.63
Watertown,15,4588.8,3,65700,0.0698,6.98
Watertown,16,4386.7,3,65700,0.0668,6.68
Watertown,17,4851.0,3,65700,0.0738,7.38
Watertown,18,4705.7,3,65700,0.0716,7.16
Watertown,19,5263.8,3,65700,0.0801,8.01
Watertown,20,5296.8,3,65700,0.0806,8.06
Watertown,21,4105.9,3,65700,0.0625,6.25
Watertown,22,3484.6,3,65700,0.053,5.3
Watertown,23,2450.5,3,65700,0.0373,3.73
Fort Atkinson,0,905.0,3,65700,0.0138,1.38
Fort Atkinson,1,843.0,3,65700,0.0128,1.28
Fort Atkinson,2,716.0,3,65700,0.0109,1.09
Fort Atkinson,3,656.0,3,65700,0.01,1.0
Fort Atkinson,4,617.0,3,65700,0.0094,0.94
Fort Atkinson,5,747.0,3,65700,0.0114,1.14
Fort Atkinson,6,877.0,3,65700,0.0133,1.33
Fort Atkinson,7,1224.0,3,65700,0.0186,1.86
Fort Atkinson,8,1867.0,3,65700,0.0284,2.84
Fort Atkinson,9,1908.0,3,65700,0.029,2.9
Fort Atkinson,10,1838.0,3,65700,0.028,2.8
Fort Atkinson,11,1904.8,3,65700,0.029,2.9
Fort Atkinson,12,1993.0,3,65700,0.0303,3.03
Fort Atkinson,13,2187.0,3,65700,0.0333,3.33
Fort Atkinson,14,2019.0,3,65700,0.0307,3.07
Fort Atkinson,15,1304.0,3,65700,0.0198,1.98
Fort Atkinson,16,1681.0,3,65700,0.0256,2.56
Fort Atkinson,17,1742.0,3,65700,0.0265,2.65
Fort Atkinson,18,1672.0,3,65700,0.0254,2.54
Fort Atkinson,19,1538.0,3,65700,0.0234,2.34
Fort Atkinson,20,1639.0,3,65700,0.0249,2.49
Fort Atkinson,21,1697.0,3,65700,0.0258,2.58
Fort Atkinson,22,971.0,3,65700,0.0148,1.48
Fort Atkinson,23,1108.0,3,65700,0.0169,1.69
Whitewater,0,2289.6,2,43800,0.0523,5.23
Whitewater,1,2537.1,2,43800,0.0579,5.79
Whitewater,2,2222.7,2,43800,0.0507,5.07
Whitewater,3,1840.0,2,43800,0.042,4.2
Whitewater,4,1627.8,2,43800,0.0372,3.72
Whitewater,5,1727.7,2,43800,0.0394,3.94
Whitewater,6,2000.1,2,43800,0.0457,4.57
Whitewater,7,2110.5,2,43800,0.0482,4.82
Whitewater,8,3010.0,2,43800,0.0687,6.87
Whitewater,9,3873.3,2,43800,0.0884,8.84
Whitewater,10,4274.3,2,43800,0.0976,9.76
Whitewater,11,4145.6,2,43800,0.0946,9.46
Whitewater,12,3734.5,2,43800,0.0853,8.53
Whitewater,13,4119.7,2,43800,0.0941,9.41
Whitewater,14,3979.1,2,43800,0.0908,9.08
Whitewater,15,3738.7,2,43800,0.0854,8.54
Whitewater,16,3564.9,2,43800,0.0814,8.14
Whitewater,17,3666.6,2,43800,0.0837,8.37
Whitewater,18,3879.3,2,43800,0.0886,8.86
Whitewater,19,3736.4,2,43800,0.0853,8.53
Whitewater,20,3386.6,2,43800,0.0773,7.73
Whitewater,21,3293.8,2,43800,0.0752,7.52
Whitewater,22,2875.0,2,43800,0.0656,6.56
Whitewater,23,2394.3,2,43800,0.0547,5.47
Edgerton,0,3918.3,2,43800,0.0895,8.95
Edgerton,1,2935.1,2,43800,0.067,6.7
Edgerton,2,2518.5,2,43800,0.0575,5.75
Edgerton,3,2307.5,2,43800,0.0527,5.27
Edgerton,4,2398.2,2,43800,0.0548,5.48
Edgerton,5,2405.3,2,43800,0.0549,5.49
Edgerton,6,3341.6,2,43800,0.0763,7.63
Edgerton,7,3838.7,2,43800,0.0876,8.76
Edgerton,8,4509.2,2,43800,0.1029,10.29
Edgerton,9,6027.8,2,43800,0.1376,13.76
Edgerton,10,7461.8,2,43800,0.1704,17.04
Edgerton,11,7498.1,2,43800,0.1712,17.12
Edgerton,12,7551.7,2,43800,0.1724,17.24
Edgerton,13,7135.7,2,43800,0.1629,16.29
Edgerton,14,7410.4,2,43800,0.1692,16.92
Edgerton,15,6925.3,2,43800,0.1581,15.81
Edgerton,16,6858.5,2,43800,0.1566,15.66
Edgerton,17,6610.4,2,43800,0.1509,15.09
Edgerton,18,6000.4,2,43800,0.137,13.7
Edgerton,19,6048.8,2,43800,0.1381,13.81
Edgerton,20,6054.8,2,43800,0.1382,13.82
Edgerton,21,5819.6,2,43800,0.1329,13.29
Edgerton,22,4866.9,2,43800,0.1111,11.11
Edgerton,23,4574.0,2,43800,0.1044,10.44
Jefferson,0,5.0,5,109500,0.0,0.0
Jefferson,1,16.9,5,109500,0.0002,0.02
Jefferson,2,32.2,5,109500,0.0003,0.03
Jefferson,3,62.0,5,109500,0.0006,0.06
Jefferson,4,51.3,5,109500,0.0005,0.05
Jefferson,5,26.4,5,109500,0.0002,0.02
Jefferson,6,45.6,5,109500,0.0004,0.04
Jefferson,7,14.4,5,109500,0.0001,0.01
Jefferson,8,88.4,5,109500,0.0008,0.08
Jefferson,9,36.0,5,109500,0.0003,0.03
Jefferson,10,92.8,5,109500,0.0008,0.08
Jefferson,11,93.2,5,109500,0.0009,0.09
Jefferson,12,128.4,5,109500,0.0012,0.12
Jefferson,13,61.6,5,109500,0.0006,0.06
Jefferson,14,223.0,5,109500,0.002,0.2
Jefferson,15,251.5,5,109500,0.0023,0.23
Jefferson,16,158.6,5,109500,0.0014,0.14
Jefferson,17,136.2,5,109500,0.0012,0.12
Jefferson,18,186.1,5,109500,0.0017,0.17
Jefferson,19,55.6,5,109500,0.0005,0.05
Jefferson,20,114.2,5,109500,0.001,0.1
Jefferson,21,35.0,5,109500,0.0003,0.03
Jefferson,22,63.0,5,109500,0.0006,0.06
Jefferson,23,133.4,5,109500,0.0012,0.12
Johnson Creek,0,604.6,2,43800,0.0138,1.38
Johnson Creek,1,350.0,2,43800,0.008,0.8
Johnson Creek,2,372.8,2,43800,0.0085,0.85
Johnson Creek,3,501.9,2,43800,0.0115,1.15
Johnson Creek,4,561.4,2,43800,0.0128,1.28
Johnson Creek,5,462.0,2,43800,0.0105,1.05
Johnson Creek,6,811.9,2,43800,0.0185,1.85
Johnson Creek,7,1090.7,2,43800,0.0249,2.49
Johnson Creek,8,1513.7,2,43800,0.0346,3.46
Johnson Creek,9,1593.7,2,43800,0.0364,3.64
Johnson Creek,10,1409.1,2,43800,0.0322,3.22
Johnson Creek,11,1113.6,2,43800,0.0254,2.54
Johnson Creek,12,1379.9,2,43800,0.0315,3.15
Johnson Creek,13,1226.4,2,43800,0.028,2.8
Johnson Creek,14,1337.7,2,43800,0.0305,3.05
Johnson Creek,15,1231.0,2,43800,0.0281,2.81
Johnson Creek,16,1127.2,2,43800,0.0257,2.57
Johnson Creek,17,1785.0,2,43800,0.0408,4.08
Johnson Creek,18,1885.9,2,43800,0.0431,4.31
Johnson Creek,19,1858.6,2,43800,0.0424,4.24
Johnson Creek,20,1404.5,2,43800,0.0321,3.21
Johnson Creek,21,1247.5,2,43800,0.0285,2.85
Johnson Creek,22,1251.9,2,43800,0.0286,2.86
Johnson Creek,23,851.3,2,43800,0.0194,1.94
Waterloo,0,1131.0,2,43800,0.0258,2.58
Waterloo,1,1129.0,2,43800,0.0258,2.58
Waterloo,2,792.5,2,43800,0.0181,1.81
Waterloo,3,671.7,2,43800,0.0153,1.53
Waterloo,4,636.0,2,43800,0.0145,1.45
Waterloo,5,584.4,2,43800,0.0133,1.33
Waterloo,6,629.0,2,43800,0.0144,1.44
Waterloo,7,752.5,2,43800,0.0172,1.72
Waterloo,8,1107.5,2,43800,0.0253,2.53
Waterloo,9,1671.0,2,43800,0.0382,3.82
Waterloo,10,1937.5,2,43800,0.0442,4.42
Waterloo,11,1756.5,2,43800,0.0401,4.01
Waterloo,12,2045.1,2,43800,0.0467,4.67
Waterloo,13,2042.3,2,43800,0.0466,4.66
Waterloo,14,1809.9,2,43800,0.0413,4.13
Waterloo,15,2055.8,2,43800,0.0469,4.69
Waterloo,16,2448.4,2,43800,0.0559,5.59
Waterloo,17,2285.3,2,43800,0.0522,5.22
Waterloo,18,2302.5,2,43800,0.0526,5.26
Waterloo,19,2028.0,2,43800,0.0463,4.63
Waterloo,20,1906.3,2,43800,0.0435,4.35
Waterloo,21,1552.7,2,43800,0.0354,3.54
Waterloo,22,1235.2,2,43800,0.0282,2.82
Waterloo,23,1151.0,2,43800,0.0263,2.63
Lake Mills,0,0.0,1,21900,0.0,0.0
Lake Mills,1,0.0,1,21900,0.0,0.0
Lake Mills,2,0.0,1,21900,0.0,0.0
Lake Mills,3,0.0,1,21900,0.0,0.0
Lake Mills,4,0.0,1,21900,0.0,0.0
Lake Mills,5,0.0,1,21900,0.0,0.0
Lake Mills,6,0.0,1,21900,0.0,0.0
Lake Mills,7,0.0,1,21900,0.0,0.0
Lake Mills,8,0.0,1,21900,0.0,0.0
Lake Mills,9,0.0,1,21900,0.0,0.0
Lake Mills,10,0.0,1,21900,0.0,0.0
Lake Mills,11,0.0,1,21900,0.0,0.0
Lake Mills,12,0.0,1,21900,0.0,0.0
Lake Mills,13,0.0,1,21900,0.0,0.0
Lake Mills,14,0.0,1,21900,0.0,0.0
Lake Mills,15,0.0,1,21900,0.0,0.0
Lake Mills,16,0.0,1,21900,0.0,0.0
Lake Mills,17,0.0,1,21900,0.0,0.0
Lake Mills,18,0.0,1,21900,0.0,0.0
Lake Mills,19,0.0,1,21900,0.0,0.0
Lake Mills,20,0.0,1,21900,0.0,0.0
Lake Mills,21,0.0,1,21900,0.0,0.0
Lake Mills,22,0.0,1,21900,0.0,0.0
Lake Mills,23,0.0,1,21900,0.0,0.0
Ixonia,0,403.3,1,21900,0.0184,1.84
Ixonia,1,470.4,1,21900,0.0215,2.15
Ixonia,2,468.0,1,21900,0.0214,2.14
Ixonia,3,464.9,1,21900,0.0212,2.12
Ixonia,4,459.7,1,21900,0.021,2.1
Ixonia,5,373.4,1,21900,0.0171,1.71
Ixonia,6,653.8,1,21900,0.0299,2.99
Ixonia,7,872.6,1,21900,0.0398,3.98
Ixonia,8,1032.5,1,21900,0.0471,4.71
Ixonia,9,930.2,1,21900,0.0425,4.25
Ixonia,10,799.0,1,21900,0.0365,3.65
Ixonia,11,891.8,1,21900,0.0407,4.07
Ixonia,12,1212.0,1,21900,0.0553,5.53
Ixonia,13,1155.5,1,21900,0.0528,5.28
Ixonia,14,646.5,1,21900,0.0295,2.95
Ixonia,15,826.0,1,21900,0.0377,3.77
Ixonia,16,938.7,1,21900,0.0429,4.29
Ixonia,17,1035.9,1,21900,0.0473,4.73
Ixonia,18,1274.4,1,21900,0.0582,5.82
Ixonia,19,710.2,1,21900,0.0324,3.24
Ixonia,20,790.8,1,21900,0.0361,3.61
Ixonia,21,648.7,1,21900,0.0296,2.96
Ixonia,22,685.2,1,21900,0.0313,3.13
Ixonia,23,498.4,1,21900,0.0228,2.28
Palmyra,0,67.0,1,21900,0.0031,0.31
Palmyra,1,123.0,1,21900,0.0056,0.56
Palmyra,2,185.0,1,21900,0.0084,0.84
Palmyra,3,197.0,1,21900,0.009,0.9
Palmyra,4,59.0,1,21900,0.0027,0.27
Palmyra,5,27.0,1,21900,0.0012,0.12
Palmyra,6,79.0,1,21900,0.0036,0.36
Palmyra,7,67.0,1,21900,0.0031,0.31
Palmyra,8,120.0,1,21900,0.0055,0.55
Palmyra,9,51.0,1,21900,0.0023,0.23
Palmyra,10,68.4,1,21900,0.0031,0.31
Palmyra,11,137.2,1,21900,0.0063,0.63
Palmyra,12,346.9,1,21900,0.0158,1.58
Palmyra,13,190.0,1,21900,0.0087,0.87
Palmyra,14,120.0,1,21900,0.0055,0.55
Palmyra,15,110.0,1,21900,0.005,0.5
Palmyra,16,180.0,1,21900,0.0082,0.82
Palmyra,17,198.0,1,21900,0.009,0.9
Palmyra,18,136.0,1,21900,0.0062,0.62
Palmyra,19,132.3,1,21900,0.006,0.6
Palmyra,20,135.0,1,21900,0.0062,0.62
Palmyra,21,120.0,1,21900,0.0055,0.55
Palmyra,22,68.6,1,21900,0.0031,0.31
Palmyra,23,21.0,1,21900,0.001,0.1
